#queryIndex	queryItem	stringId	preferredName	annotation
45	SERP1131	176279.SERP1131	SERP1131	Hypothetical protein; Identified by Glimmer2; putative.
46	SERP1259	176279.SERP1259	SERP1259	IS256-like transposase; Identified by similarity to EGAD:22488; match to protein family HMM PF00872.
47	SERP1316	176279.SERP1316	SERP1316	Cell wall surface anchor family protein; Identified by match to protein family HMM PF00746; match to protein family HMM PF04650; match to protein family HMM TIGR01167; match to protein family HMM TIGR01168.
48	SERP1483	176279.SERP1483	SERP1483	Cell wall surface anchor family protein; Identified by match to protein family HMM PF00746; match to protein family HMM TIGR01167.
49	SERP1499	176279.SERP1499	SERP1499	Conserved hypothetical protein; Identified by similarity to OMNI:NTL01SA1924; match to protein family HMM PF01206; Belongs to the sulfur carrier protein TusA family.
50	SERP1877	176279.SERP1877	SERP1877	Conserved hypothetical protein; Identified by similarity to OMNI:NTL01SA2181.
51	SERP1879	176279.SERP1879	SERP1879	Transcriptional regulator, AraC family; Identified by match to protein family HMM PF00165.
52	SERP1951	176279.SERP1951	hrtA	ABC transporter, ATP-binding protein; Part of the ABC transporter complex hrt involved in hemin import. Responsible for energy coupling to the transport system (By similarity).
53	SERP1952	176279.SERP1952	hrtB	ABC transporter, permease protein; Part of the ABC transporter complex hrt involved in hemin import. Responsible for the translocation of the substrate across the membrane (By similarity).
54	SERP1974	176279.SERP1974	SERP1974	Conserved hypothetical protein; Identified by similarity to OMNI:SA2381.
55	SERP1978	176279.SERP1978	SERP1978	Identified by match to protein family HMM PF00881.
56	SERP2003	176279.SERP2003	SERP2003	Amino acid ABC transporter, ATP-binding protein; Identified by similarity to EGAD:33113; match to protein family HMM PF00005.
57	SERP2004	176279.SERP2004	SERP2004	Amino acid ABC transporter, permease protein; Identified by similarity to EGAD:28090; match to protein family HMM PF00528; match to protein family HMM TIGR01726.
58	SERP2005	176279.SERP2005	SERP2005	Amino acid ABC transporter, amino acid-binding protein; Identified by similarity to SP:P42199; match to protein family HMM PF00497.
59	SERP2061	176279.SERP2061	SERP2061	Transcriptional regulator, MerR family; Identified by match to protein family HMM PF00376.
60	SERP2063	176279.SERP2063	SERP2063	Esterase, putative; Identified by similarity to SP:P22862.
61	SERP2148	176279.SERP2148	SERP2148	Conserved hypothetical protein; Identified by similarity to OMNI:NTL01SA2241.
62	SERP2149	176279.SERP2149	SERP2149	Hypothetical protein; Identified by Glimmer2; putative.
63	SERP2167	176279.SERP2167	SERP2167	Lipoprotein, putative.
64	SERP2212	176279.SERP2212	SERP2212	Conserved domain protein; Identified by similarity to EGAD:108772.
65	SERP2251	176279.SERP2251	argR-2	Transcriptional regulator, ArgR family; Regulates arginine biosynthesis genes.
66	SERP2263	176279.SERP2263	SERP2263	N-acetylmuramoyl-L-alanine amidase domain protein; Identified by match to protein family HMM PF01832; match to protein family HMM PF05257.
67	SERP2265	176279.SERP2265	SERP2265	Organic hydroperoxide resistance protein, putative; Identified by similarity to SP:O68390; match to protein family HMM PF02566; Belongs to the OsmC/Ohr family.
68	SERP2281	176279.SERP2281	SERP2281	Serine threonine rich antigen; Identified by match to protein family HMM PF05345.
69	SERP2282	176279.SERP2282	SERP2282	Hypothetical protein; Identified by Glimmer2; putative.
70	SERP2283	176279.SERP2283	SERP2283	Phosphonate ABC transporter, permease protein; Identified by match to protein family HMM PF00528.
71	SERP2284	176279.SERP2284	SERP2284	Phosphonate ABC transporter, permease protein; Identified by match to protein family HMM PF00528.
72	SERP2285	176279.SERP2285	phnC	Phosphonate ABC transporter, ATP-binding protein; Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily. Phosphonates importer (TC 3.A.1.9.1) family.
73	SERP2286	176279.SERP2286	SERP2286	Phosphonate ABC transporter, phosphonate-binding protein.
74	SERP2298	176279.SERP2298	SERP2298	Hypothetical protein; Identified by Glimmer2; putative.
75	SERP2299	176279.SERP2299	SERP2299	Identified by match to protein family HMM PF00797; Belongs to the arylamine N-acetyltransferase family.
76	SERP2336	176279.SERP2336	SERP2336	Lipase, putative; Identified by similarity to SP:Q02510; match to protein family HMM PF04650; match to protein family HMM TIGR01168.
77	SERP2343	176279.SERP2343	SERP2343	Conserved hypothetical protein; Identified by similarity to OMNI:SA0709; match to protein family HMM PF03610.
78	SERP2353	176279.SERP2353	SERP2353	Membrane protein, putative; Identified by match to protein family HMM PF03606.
79	SERP2355	176279.SERP2355	SERP2355	Amino acid ABC transporter, permease protein; Identified by similarity to EGAD:109206; match to protein family HMM PF00528.
81	SERP2491	176279.SERP2491	SERP2491	Membrane protein, putative; Identified by match to protein family HMM PF03606.
82	SERP2526	176279.SERP2526	SERP2526	IS431mec-like transposase; Identified by similarity to OMNI:SA0028; match to protein family HMM PF00665.
83	SERP2527	176279.SERP2527	SERP2527	Conserved hypothetical protein; Identified by similarity to OMNI:SA0027.
84	sspA	176279.SERP1397	sspA	Glutamyl endopeptidase precursor SspA; Exhibits a significant hydrolytic activity for the carbonyl side of glutamic acid. Shows activity toward human fibronectin and type 1 collagen (By similarity).
85	sspB	176279.SERP2390	sspB	Cysteine protease precursor SspB; Cysteine protease able to cleave elastin, insulin, myoglobin, fibronectin, fibrinogen, HMW-kininogen, alpha-1-protease inhibitor and alpha-1-antitrypsin. Along with other extracellular proteases may contribute to the colonization and infection of human tissues (By similarity).
86	sspC	176279.SERP2391	sspC	SspC protein; Identified by similarity to OMNI:SA1971.
